[2026-04-23 02:01:17,893] 164 numexpr.utils - INFO - NumExpr defaulting to 10 threads.
[2026-04-23 02:01:18,859] 21 root - INFO - Initiate the data ingestion
[2026-04-23 02:01:19,642] 79 root - INFO - Performed train test split on the dataframe.
[2026-04-23 02:01:19,642] 81 root - INFO - Exited split_data_as_train_test method of DataIngestion Class.
[2026-04-23 02:01:19,642] 87 root - INFO - Exporting train and test file path.
[2026-04-23 02:01:19,666] 93 root - INFO - Exported train and test file path
[2026-04-23 02:01:19,666] 23 root - INFO - Data Initiation Completed
[2026-04-23 02:01:19,667] 28 root - INFO - Initiate the data Validation
[2026-04-23 02:01:19,674] 32 root - INFO - Required number of columns:2
[2026-04-23 02:01:19,674] 33 root - INFO - Data frame has columns:31
[2026-04-23 02:01:19,674] 32 root - INFO - Required number of columns:2
[2026-04-23 02:01:19,674] 33 root - INFO - Data frame has columns:31
[2026-04-23 02:01:19,736] 30 root - INFO - Data Validation Completed
[2026-04-23 02:01:19,736] 35 root - INFO - Initializes Data Transformation.
[2026-04-23 02:01:19,736] 67 root - INFO - Entered initiate_data_transformation method of DataTransformation class.
[2026-04-23 02:01:19,736] 70 root - INFO - Starting data transformation.
[2026-04-23 02:01:19,736] 74 root - INFO - Reading train and test data from validation artifact
[2026-04-23 02:01:19,744] 80 root - INFO - Splitting train data into target feature and input feature
[2026-04-23 02:01:19,744] 86 root - INFO - Splitting test data into target feature and input feature
[2026-04-23 02:01:19,745] 90 root - INFO - Splitting of DataFrame completed successfully.
[2026-04-23 02:01:19,745] 93 root - INFO - Entered Transformation
[2026-04-23 02:01:19,745] 52 root - INFO - Entered get_data_transformer_object method of DataTransformation class.
[2026-04-23 02:01:19,745] 56 root - INFO - Initialize KNNImputer with {'missing_values': nan, 'n_neighbors': 3, 'weights': 'uniform'}
[2026-04-23 02:01:19,745] 96 root - INFO - Applying fit_transform
[2026-04-23 02:01:19,747] 103 root - INFO - Concatinating transformed input feature with target feature
[2026-04-23 02:01:19,747] 108 root - INFO - Saving Final Train, Test array and Preprocessor object.
[2026-04-23 02:01:19,748] 57 root - INFO - Entered the save_object method of main_utils class.
[2026-04-23 02:01:19,748] 63 root - INFO - Exited the save_object method of main_utils class.
[2026-04-23 02:01:19,748] 114 root - INFO - Preparing Artifacts.
[2026-04-23 02:01:19,749] 37 root - INFO - Data Transformation Completed.
[2026-04-23 02:01:19,749] 40 root - INFO - Model Training Started.
[2026-04-23 02:01:19,749] 127 root - INFO - Reading data from Transformation Artifact.
[2026-04-23 02:01:19,749] 131 root - INFO - Loading train array and test array.
[2026-04-23 02:01:19,749] 135 root - INFO - Splitting into train and test.
