[2026-04-23 02:15:06,714] 164 numexpr.utils - INFO - NumExpr defaulting to 10 threads.
[2026-04-23 02:15:07,543] 21 root - INFO - Initiate the data ingestion
[2026-04-23 02:15:08,399] 79 root - INFO - Performed train test split on the dataframe.
[2026-04-23 02:15:08,399] 81 root - INFO - Exited split_data_as_train_test method of DataIngestion Class.
[2026-04-23 02:15:08,399] 87 root - INFO - Exporting train and test file path.
[2026-04-23 02:15:08,421] 93 root - INFO - Exported train and test file path
[2026-04-23 02:15:08,422] 23 root - INFO - Data Initiation Completed
[2026-04-23 02:15:08,423] 28 root - INFO - Initiate the data Validation
[2026-04-23 02:15:08,429] 32 root - INFO - Required number of columns:2
[2026-04-23 02:15:08,429] 33 root - INFO - Data frame has columns:31
[2026-04-23 02:15:08,429] 32 root - INFO - Required number of columns:2
[2026-04-23 02:15:08,429] 33 root - INFO - Data frame has columns:31
[2026-04-23 02:15:08,493] 30 root - INFO - Data Validation Completed
[2026-04-23 02:15:08,493] 35 root - INFO - Initializes Data Transformation.
[2026-04-23 02:15:08,493] 67 root - INFO - Entered initiate_data_transformation method of DataTransformation class.
[2026-04-23 02:15:08,493] 70 root - INFO - Starting data transformation.
[2026-04-23 02:15:08,493] 74 root - INFO - Reading train and test data from validation artifact
[2026-04-23 02:15:08,500] 80 root - INFO - Splitting train data into target feature and input feature
[2026-04-23 02:15:08,500] 86 root - INFO - Splitting test data into target feature and input feature
[2026-04-23 02:15:08,500] 90 root - INFO - Splitting of DataFrame completed successfully.
[2026-04-23 02:15:08,500] 93 root - INFO - Entered Transformation
[2026-04-23 02:15:08,500] 52 root - INFO - Entered get_data_transformer_object method of DataTransformation class.
[2026-04-23 02:15:08,500] 56 root - INFO - Initialize KNNImputer with {'missing_values': nan, 'n_neighbors': 3, 'weights': 'uniform'}
[2026-04-23 02:15:08,500] 96 root - INFO - Applying fit_transform
[2026-04-23 02:15:08,502] 103 root - INFO - Concatinating transformed input feature with target feature
[2026-04-23 02:15:08,503] 108 root - INFO - Saving Final Train, Test array and Preprocessor object.
[2026-04-23 02:15:08,503] 57 root - INFO - Entered the save_object method of main_utils class.
[2026-04-23 02:15:08,504] 63 root - INFO - Exited the save_object method of main_utils class.
[2026-04-23 02:15:08,504] 114 root - INFO - Preparing Artifacts.
[2026-04-23 02:15:08,504] 37 root - INFO - Data Transformation Completed.
[2026-04-23 02:15:08,504] 40 root - INFO - Model Training Started.
[2026-04-23 02:15:08,504] 127 root - INFO - Reading data from Transformation Artifact.
[2026-04-23 02:15:08,504] 131 root - INFO - Loading train array and test array.
[2026-04-23 02:15:08,504] 135 root - INFO - Splitting into train and test.
[2026-04-23 02:25:24,326] 57 root - INFO - Entered the save_object method of main_utils class.
[2026-04-23 02:25:24,327] 63 root - INFO - Exited the save_object method of main_utils class.
[2026-04-23 02:25:24,327] 118 root - INFO - Model Trainer Artifact: ModelTrainerArtifact(trained_model_file_path='Artifacts/04_23_2026_02_15_06/model_trainer/trained_model/model.pkl', train_metric_artifact=ClassificationMetricArtifact(f1_score=0.9915151515151515, precision_score=0.9901149889045794, recall_score=0.9929192797896015), test_metric_artifact=ClassificationMetricArtifact(f1_score=0.9746732026143791, precision_score=0.9667747163695299, recall_score=0.9827018121911038))
[2026-04-23 02:25:24,328] 44 root - INFO - Model Training Artifacts Created.
